time;power(kw);accuracy(sec)
00:00;4636,239603;900
00:15;4623,818453;
00:30;4621,779301;
00:45;4579,972938;
01:00;4573,606713;
01:15;4576,015048;
01:30;4582,441814;
01:45;4592,420282;
02:00;4614,995176;
02:15;4639,275206;
02:30;4681,162955;
02:45;4730,054916;
03:00;4863,84111;
03:15;4993,137539;
03:30;5173,995187;
03:45;5403,664784;
04:00;5842,320002;
04:15;6210,536463;
04:30;6524,813807;
04:45;6883,318718;
05:00;7416,869966;
05:15;7861,786832;
05:30;8453,485713;
05:45;8886,70568;
06:00;9236,720958;
06:15;9461,845851;
06:30;9610,595049;
06:45;9692,566879;
07:00;9643,068885;
07:15;9651,750548;
07:30;9467,334705;
07:45;9528,822796;
08:00;9570,6758;
08:15;9692,845557;
08:30;9822,652373;
08:45;9887,052546;
09:00;9855,214802;
09:15;9853,164074;
09:30;9839,153794;
09:45;9753,821599;
10:00;9458,346051;
10:15;9262,36823;
10:30;9100,324307;
10:45;9115,370081;
11:00;9345,389809;
11:15;9520,818641;
11:30;9553,209043;
11:45;9525,538234;
12:00;9465,162357;
12:15;9399,820915;
12:30;9218,163302;
12:45;9108,841254;
13:00;8938,250152;
13:15;8912,637701;
13:30;8815,225901;
13:45;8583,724446;
14:00;8174,866645;
14:15;7785,33128;
14:30;7278,206554;
14:45;6965,309203;
15:00;6619,877002;
15:15;6393,67059;
15:30;6207,085411;
15:45;6073,677042;
16:00;5941,689676;
16:15;5843,007655;
16:30;5782,687251;
16:45;5738,0675;
17:00;5686,640664;
17:15;5635,220767;
17:30;5586,756998;
17:45;5533,286004;
18:00;5462,432861;
18:15;5416,636787;
18:30;5397,592351;
18:45;5362,357675;
19:00;5317,770021;
19:15;5284,131602;
19:30;5232,238938;
19:45;5168,875887;
20:00;5114,337956;
20:15;5081,154044;
20:30;5044,005338;
20:45;4976,362299;
21:00;4908,444963;
21:15;4870,850409;
21:30;4824,413019;
21:45;4775,727028;
22:00;4724,813924;
22:15;4702,984549;
22:30;4682,328488;
22:45;4674,420224;
23:00;4657,712735;
23:15;4640,210403;
23:30;4622,29232;
23:45;4612,113586;
